edad,ingresos,años_experiencia,ratio_deuda_ingresos,deuda_credito,otra_deuda,incumplimiento,antiguedad_crediticia,deuda_total,log_ingresos,ratio_deuda_total_ingreso
31,28.0,4,11.3,0.291088,2.872912,0,4,3.1639999999999997,1.462397997898956,0.11299999999999999
32,20.0,1,4.8,0.31488,0.64512,1,4,0.96,1.3222192947339193,0.048
33,21.0,6,7.5,0.567,1.008,0,4,1.575,1.3424226808222062,0.075
26,22.0,6,10.3,0.720588,1.545412,0,4,2.266,1.3617278360175928,0.103
28,34.0,7,7.0,0.35938,2.02062,0,4,2.38,1.5440680443502757,0.06999999999999999
37,24.0,13,8.9,0.602352,1.533648,0,4,2.136,1.3979400086720377,0.08900000000000001
39,46.0,12,5.0,0.5612,1.7388,0,4,2.3,1.6720978579357175,0.049999999999999996
40,57.0,8,5.6,0.8778,2.3142,0,4,3.192,1.7634279935629373,0.056
45,80.0,16,3.0,0.912,1.488,0,4,2.4,1.9084850188786497,0.03
27,34.0,10,6.5,0.85085,1.35915,0,4,2.21,1.5440680443502757,0.065
39,27.0,13,8.0,0.96552,1.19448,0,4,2.16,1.4471580313422192,0.08
36,16.0,1,9.3,0.433008,1.054992,0,4,1.488,1.2304489213782739,0.093
27,22.0,4,13.2,1.086096,1.817904,1,4,2.904,1.3617278360175928,0.132
30,17.0,1,11.0,0.74613,1.12387,0,4,1.8699999999999999,1.255272505103306,0.10999999999999999
36,28.0,10,11.2,0.81536,2.32064,1,4,3.136,1.462397997898956,0.112
31,21.0,1,2.5,0.2772,0.2478,1,4,0.525,1.3424226808222062,0.025
33,40.0,13,7.2,0.18144,2.69856,0,4,2.88,1.6127838567197355,0.072
30,33.0,4,4.2,0.500346,0.885654,0,4,1.3860000000000001,1.5314789170422551,0.042
24,18.0,1,5.9,0.23895,0.82305,1,4,1.0619999999999998,1.2787536009528289,0.05899999999999999
33,28.0,9,4.3,0.376852,0.827148,0,4,1.204,1.462397997898956,0.043
50,47.0,8,6.9,0.398889,2.844111,0,4,3.243,1.6812412373755872,0.06899999999999999
28,19.0,3,4.1,0.260965,0.518035,0,4,0.779,1.3010299956639813,0.041
44,88.0,8,6.1,0.284504,5.083496,1,4,5.368,1.9493900066449128,0.061000000000000006
48,45.0,3,9.8,0.97461,3.43539,0,4,4.41,1.662757831681574,0.098
36,30.0,0,9.7,0.32883,2.58117,0,4,2.91,1.4913616938342726,0.097
29,63.0,7,5.5,0.571725,2.893275,0,4,3.465,1.806179973983887,0.055
33,26.0,7,6.0,0.54288,1.01712,0,4,1.56,1.4313637641589874,0.060000000000000005
26,30.0,6,1.0,0.1437,0.1563,0,4,0.3,1.4913616938342726,0.01
36,81.0,14,7.2,1.784592,4.047408,0,4,5.832,1.9138138523837167,0.072
26,35.0,6,1.9,0.085785,0.579215,0,4,0.665,1.5563025007672873,0.019
44,48.0,5,9.0,1.96992,2.35008,1,4,4.32,1.6901960800285136,0.09000000000000001
29,30.0,1,4.5,0.27945,1.07055,0,4,1.3499999999999999,1.4913616938342726,0.045
35,37.0,5,5.4,0.581418,1.416582,1,4,1.998,1.5797835966168101,0.054
34,47.0,12,6.7,1.300537,1.848463,0,4,3.149,1.6812412373755872,0.067
46,35.0,14,10.2,1.34946,2.22054,0,4,3.5700000000000003,1.5563025007672873,0.10200000000000001
27,30.0,7,4.0,0.4476,0.7524,1,4,1.2,1.4913616938342726,0.04
27,70.0,0,8.0,1.6184,3.9816,1,4,5.6,1.8512583487190752,0.08
28,24.0,11,2.4,0.107136,0.468864,0,4,0.576,1.3979400086720377,0.023999999999999997
48,19.0,0,10.8,0.849528,1.202472,0,4,2.052,1.3010299956639813,0.108
23,17.0,5,7.9,0.302175,1.040825,0,4,1.343,1.255272505103306,0.079
40,75.0,5,1.9,0.884925,0.540075,0,4,1.4249999999999998,1.8808135922807914,0.018999999999999996
22,20.0,0,5.6,0.2072,0.9128,0,4,1.1199999999999999,1.3222192947339193,0.055999999999999994
55,40.0,3,8.0,0.5632,2.6368,1,4,3.2,1.6127838567197355,0.08
38,38.0,8,0.6,0.029412,0.198588,0,4,0.22799999999999998,1.591064607026499,0.005999999999999999
35,33.0,5,2.8,0.103488,0.820512,0,4,0.924,1.5314789170422551,0.028
30,27.0,11,0.9,0.073872,0.169128,0,4,0.243,1.4471580313422192,0.009
24,18.0,7,6.5,0.5265,0.6435,0,4,1.17,1.2787536009528289,0.065
26,28.0,4,9.5,0.2261,2.4339,0,4,2.66,1.462397997898956,0.095
32,15.0,2,9.1,0.118755,1.246245,1,4,1.365,1.2041199826559248,0.091
37,75.0,11,3.5,0.632625,1.992375,0,4,2.625,1.8808135922807914,0.035
30,39.0,10,9.5,2.056275,1.648725,0,4,3.705,1.6020599913279623,0.095
32,32.0,7,4.3,0.43344,0.94256,0,4,1.376,1.5185139398778875,0.043
27,35.0,3,13.3,1.60132,3.05368,0,4,4.655,1.5563025007672873,0.133
39,39.0,15,1.8,0.139698,0.562302,0,4,0.702,1.6020599913279623,0.018
31,25.0,5,14.1,1.17735,2.34765,0,4,3.5249999999999995,1.414973347970818,0.141
35,105.0,13,1.9,1.418445,0.576555,0,4,1.995,2.0253058652647704,0.019
35,21.0,1,7.9,0.369957,1.289043,0,4,1.6589999999999998,1.3424226808222062,0.07899999999999999
38,21.0,5,9.0,0.44982,1.44018,0,4,1.8900000000000001,1.3424226808222062,0.09000000000000001
38,44.0,18,4.5,0.60588,1.37412,0,4,1.98,1.6532125137753437,0.045
34,39.0,2,13.2,1.142856,4.005144,0,4,5.148,1.6020599913279623,0.13199999999999998
51,82.0,16,4.4,2.604976,1.003024,0,4,3.608,1.919078092376074,0.044000000000000004
34,33.0,10,9.5,0.573705,2.561295,0,4,3.135,1.5314789170422551,0.09499999999999999
34,78.0,8,5.4,2.156544,2.055456,0,4,4.212,1.8976270912904414,0.054
27,18.0,8,11.9,0.400554,1.741446,0,4,2.142,1.2787536009528289,0.119
39,35.0,9,5.0,0.23275,1.51725,0,4,1.75,1.5563025007672873,0.05
33,22.0,7,6.4,0.630784,0.777216,0,4,1.408,1.3617278360175928,0.064
34,21.0,0,7.2,0.187488,1.324512,0,4,1.512,1.3424226808222062,0.072
39,45.0,19,3.7,0.91575,0.74925,0,4,1.665,1.662757831681574,0.037
22,16.0,4,1.2,0.08448,0.10752,0,4,0.192,1.2304489213782739,0.012
27,26.0,6,10.4,0.930176,1.773824,0,4,2.704,1.4313637641589874,0.10400000000000001
28,38.0,6,7.2,0.774288,1.961712,0,4,2.7359999999999998,1.591064607026499,0.072
27,20.0,1,10.3,0.37698,1.68302,1,4,2.06,1.3222192947339193,0.10300000000000001
26,24.0,2,13.6,1.576512,1.687488,1,4,3.2640000000000002,1.3979400086720377,0.136
32,36.0,14,2.4,0.273024,0.590976,0,4,0.8639999999999999,1.568201724066995,0.023999999999999997
30,17.0,0,3.7,0.44659,0.18241,1,4,0.629,1.255272505103306,0.037
39,38.0,13,8.9,1.897302,1.484698,0,4,3.382,1.591064607026499,0.08900000000000001
31,28.0,11,4.8,0.345408,0.998592,1,4,1.344,1.462397997898956,0.048
31,41.0,8,12.6,0.134316,5.031684,0,4,5.166,1.6232492903979006,0.126
29,25.0,1,10.4,0.5694,2.0306,0,4,2.6,1.414973347970818,0.10400000000000001
29,25.0,9,13.9,1.0703,2.4047,0,4,3.475,1.414973347970818,0.139
35,30.0,9,7.6,0.6498,1.6302,0,4,2.2800000000000002,1.4913616938342726,0.07600000000000001
29,32.0,11,6.0,0.92736,0.99264,0,4,1.92,1.5185139398778875,0.06
35,36.0,16,3.4,0.178704,1.045296,0,4,1.224,1.568201724066995,0.034
29,36.0,11,6.1,0.709308,1.486692,0,4,2.1959999999999997,1.568201724066995,0.06099999999999999
23,34.0,3,4.4,0.2618,1.2342,0,4,1.496,1.5440680443502757,0.044
33,32.0,9,5.5,0.49632,1.26368,0,4,1.7599999999999998,1.5185139398778875,0.05499999999999999
51,159.0,19,2.8,1.06848,3.38352,0,4,4.452,2.2041199826559246,0.028
24,21.0,4,2.6,0.099372,0.446628,0,4,0.546,1.3424226808222062,0.026000000000000002
31,49.0,10,9.8,3.236548,1.565452,1,4,4.802,1.6989700043360187,0.09799999999999999
45,52.0,10,5.4,0.932256,1.875744,0,4,2.808,1.724275869600789,0.054
29,17.0,3,9.0,0.46971,1.06029,0,4,1.53,1.255272505103306,0.09
25,27.0,4,5.0,0.54945,0.80055,1,4,1.35,1.4471580313422192,0.05
37,56.0,20,1.9,0.54264,0.52136,0,4,1.064,1.7558748556724915,0.019
43,54.0,6,9.6,0.62208,4.56192,0,4,5.183999999999999,1.7403626894942439,0.09599999999999999
47,81.0,22,5.5,1.50579,2.94921,0,4,4.455,1.9138138523837167,0.055
24,21.0,6,5.2,0.108108,0.983892,0,4,1.092,1.3424226808222062,0.052000000000000005
27,75.0,5,6.3,2.206575,2.518425,0,4,4.725,1.8808135922807914,0.063
25,18.0,9,1.2,0.06588,0.15012,0,4,0.216,1.2787536009528289,0.012
26,25.0,10,7.1,1.3064,0.4686,0,4,1.775,1.414973347970818,0.071
41,25.0,4,10.1,1.0605,1.4645,0,4,2.525,1.414973347970818,0.10099999999999999
29,14.0,2,14.4,0.586656,1.429344,1,4,2.016,1.1760912590556813,0.144
42,31.0,6,11.6,1.02486,2.57114,0,4,3.596,1.505149978319906,0.116
31,29.0,1,11.1,1.065489,2.153511,0,4,3.219,1.4771212547196624,0.111
23,23.0,0,6.7,0.468464,1.072536,0,4,1.541,1.380211241711606,0.06699999999999999
39,33.0,4,7.0,0.39732,1.91268,0,4,2.31,1.5314789170422551,0.07
27,40.0,4,3.1,0.28396,0.95604,1,4,1.24,1.6127838567197355,0.031
24,24.0,8,5.0,0.3816,0.8184,0,4,1.2,1.3979400086720377,0.049999999999999996
27,45.0,3,11.0,0.29205,4.65795,1,4,4.949999999999999,1.662757831681574,0.10999999999999999
41,49.0,16,1.6,0.4312,0.3528,0,4,0.784,1.6989700043360187,0.016
38,23.0,0,8.1,0.897966,0.965034,1,4,1.863,1.380211241711606,0.081
40,32.0,2,3.7,0.853664,0.330336,0,4,1.184,1.5185139398778875,0.037
29,31.0,1,8.0,0.15624,2.32376,0,4,2.48,1.505149978319906,0.08
30,23.0,8,12.0,0.76176,1.99824,0,4,2.76,1.380211241711606,0.12
29,18.0,1,1.1,0.029898,0.168102,0,4,0.198,1.2787536009528289,0.011000000000000001
29,50.0,3,2.4,0.2592,0.9408,1,4,1.2,1.7075701760979363,0.024
28,41.0,2,2.5,0.4592,0.5658,1,4,1.025,1.6232492903979006,0.024999999999999998
28,38.0,0,10.4,0.636272,3.315728,0,4,3.952,1.591064607026499,0.104
32,53.0,11,3.3,0.089199,1.659801,0,4,1.749,1.7323937598229686,0.033
39,39.0,20,8.2,0.773916,2.424084,0,4,3.1980000000000004,1.6020599913279623,0.082
28,28.0,4,14.2,0.43736,3.53864,1,4,3.976,1.462397997898956,0.142
46,31.0,6,12.2,1.98555,1.79645,0,4,3.782,1.505149978319906,0.122
30,15.0,4,6.5,0.350025,0.624975,0,4,0.9749999999999999,1.2041199826559248,0.06499999999999999
39,32.0,15,4.9,0.421792,1.146208,0,4,1.5679999999999998,1.5185139398778875,0.048999999999999995
24,19.0,3,4.3,0.358663,0.458337,0,4,0.817,1.3010299956639813,0.043
32,32.0,10,11.3,1.167968,2.448032,0,4,3.6159999999999997,1.5185139398778875,0.11299999999999999
29,15.0,3,2.6,0.14664,0.24336,0,4,0.39,1.2041199826559248,0.026000000000000002
40,36.0,2,3.8,0.277704,1.090296,0,4,1.3679999999999999,1.568201724066995,0.038
41,43.0,8,0.7,0.085785,0.215215,0,4,0.301,1.6434526764861874,0.007
38,34.0,10,1.2,0.036312,0.371688,0,4,0.40800000000000003,1.5440680443502757,0.012
37,62.0,6,8.5,1.18575,4.08425,0,4,5.27,1.7993405494535817,0.08499999999999999
21,26.0,0,7.7,1.529528,0.472472,0,4,2.002,1.4313637641589874,0.07699999999999999
29,27.0,13,2.3,0.068931,0.552069,0,4,0.621,1.4471580313422192,0.023
35,82.0,14,0.8,0.468384,0.187616,0,4,0.656,1.919078092376074,0.008
41,30.0,2,6.7,0.11256,1.89744,0,4,2.01,1.4913616938342726,0.06699999999999999
37,18.0,0,12.9,1.583604,0.738396,1,4,2.322,1.2787536009528289,0.129
32,47.0,3,1.9,0.42864,0.46436,0,4,0.893,1.6812412373755872,0.019
36,20.0,5,8.1,0.729,0.891,0,4,1.62,1.3222192947339193,0.081
39,44.0,18,2.1,0.367752,0.556248,0,4,0.9239999999999999,1.6532125137753437,0.020999999999999998
46,99.0,22,2.3,0.826551,1.450449,0,4,2.277,2.0,0.023000000000000003
34,51.0,13,9.6,1.875168,3.020832,0,4,4.896,1.7160033436347992,0.096
27,26.0,7,9.1,0.641186,1.724814,0,4,2.366,1.4313637641589874,0.091
43,45.0,8,3.3,0.67716,0.80784,0,4,1.4849999999999999,1.662757831681574,0.032999999999999995
39,101.0,20,1.4,0.340774,1.073226,0,4,1.4140000000000001,2.0086001717619175,0.014000000000000002
29,17.0,1,2.5,0.13175,0.29325,0,4,0.42500000000000004,1.255272505103306,0.025
34,40.0,7,6.4,0.94976,1.61024,0,4,2.56,1.6127838567197355,0.064
26,21.0,1,4.9,0.608139,0.420861,0,4,1.029,1.3424226808222062,0.048999999999999995
31,60.0,15,4.8,0.80352,2.07648,0,4,2.88,1.7853298350107671,0.048
26,24.0,10,2.7,0.31104,0.33696,0,4,0.6479999999999999,1.3979400086720377,0.026999999999999996
28,45.0,12,7.7,1.853775,1.611225,0,4,3.465,1.662757831681574,0.077
37,25.0,3,3.7,0.27565,0.64935,0,4,0.925,1.414973347970818,0.037000000000000005
26,22.0,7,5.1,0.208692,0.913308,0,4,1.1219999999999999,1.3617278360175928,0.051
46,126.0,15,3.1,0.476532,3.429468,0,4,3.906,2.103803720955957,0.031
31,23.0,7,4.9,0.2254,0.9016,0,4,1.127,1.380211241711606,0.049
34,56.0,13,6.1,0.864248,2.551752,0,4,3.416,1.7558748556724915,0.061
40,95.0,22,3.6,0.6327,2.7873,0,4,3.42,1.9822712330395684,0.036
24,16.0,2,6.4,0.270336,0.753664,1,4,1.024,1.2304489213782739,0.064
33,44.0,2,3.1,0.52514,0.83886,0,4,1.364,1.6532125137753437,0.031000000000000003
35,32.0,5,13.0,0.17472,3.98528,0,4,4.16,1.5185139398778875,0.13
49,39.0,11,10.1,2.457936,1.481064,0,4,3.939,1.6020599913279623,0.101
26,28.0,0,9.3,1.270752,1.333248,0,4,2.604,1.462397997898956,0.093
23,16.0,2,9.6,0.804864,0.731136,1,4,1.536,1.2304489213782739,0.096
23,21.0,0,8.7,0.454923,1.372077,0,4,1.827,1.3424226808222062,0.087
38,56.0,4,1.6,0.441728,0.454272,0,4,0.896,1.7558748556724915,0.016
28,37.0,5,8.3,1.123986,1.947014,0,4,3.0709999999999997,1.5797835966168101,0.08299999999999999
29,40.0,12,6.7,1.63212,1.04788,0,4,2.6799999999999997,1.6127838567197355,0.06699999999999999
42,64.0,0,6.6,0.278784,3.945216,0,4,4.224,1.8129133566428555,0.066
31,27.0,13,5.0,0.2376,1.1124,0,4,1.35,1.4471580313422192,0.05
39,31.0,10,4.8,0.184512,1.303488,0,4,1.488,1.505149978319906,0.048
45,132.0,21,3.0,2.55816,1.40184,0,4,3.96,2.123851640967086,0.03
36,53.0,14,5.7,1.888125,1.132875,0,4,3.021,1.7323937598229686,0.056999999999999995
25,24.0,0,12.1,1.5972,1.3068,1,4,2.904,1.3979400086720377,0.121
30,56.0,8,6.4,0.333312,3.250688,0,4,3.5839999999999996,1.7558748556724915,0.06399999999999999
31,24.0,1,4.5,0.21708,0.86292,0,4,1.08,1.3979400086720377,0.045000000000000005
43,29.0,4,4.6,0.05336,1.28064,0,4,1.334,1.4771212547196624,0.046
43,83.0,16,4.1,0.258628,3.144372,0,4,3.403,1.9242792860618816,0.041
48,24.0,3,7.0,0.7644,0.9156,0,4,1.68,1.3979400086720377,0.06999999999999999
30,61.0,8,2.8,0.549976,1.158024,0,4,1.708,1.792391689498254,0.028
36,32.0,8,1.6,0.024576,0.487424,0,4,0.512,1.5185139398778875,0.016
20,17.0,0,2.3,0.043792,0.347208,0,4,0.391,1.255272505103306,0.023
43,89.0,16,0.4,0.159488,0.196512,0,4,0.356,1.954242509439325,0.004
23,25.0,2,4.5,0.12375,1.00125,1,4,1.125,1.414973347970818,0.045
50,36.0,11,4.8,0.834624,0.893376,0,4,1.728,1.568201724066995,0.048
